chu4an,чху4ан
chua1n,чхуа1н
chua2n,чхуа2н
chua3n,чхуа3н
chua4n,чхуа4н
chuang,чхуанъ
chu1ang,чху1анъ
chu2ang,чху2анъ
chu3ang,чху3анъ
chu4ang,чху4анъ
chua1ng,чхуа1нъ
chua2ng,чхуа2нъ
chua3ng,чхуа3нъ
chua4ng,чхуа4нъ
chui,чхуй
chu1i,чху1й
chu2i,чху2й
chu3i,чху3й
chu4i,чху4й
chui1,чхуй1
chui2,чхуй2
chui3,чхуй3
chui4,чхуй4
chun,чхун
chuo,чхуо
ci,цхы
cong,цхунъ
cou,цхоу
cu,цху
cuan,цхуан
cui,цхуй
cun,цхун
cuo,цхуо
da,да
dai,дай
dan,дан
dang,данъ
dao,дао
de,дэ
dei,дэй
deng,дэнъ
di,ди
dia,дья
dian,дьен
diao,дьяо
die,дье
ding,динъ
diu,диу
dong,дунъ
dou,доу
du,ду
duan,дуан
dui,дуй
dun,дун
duo,дуо
e,э
ei,эй
en,эн
eng,энъ
er,ар
fa,фа
fan,фан
fang,фанъ
fe,фэй
fei,фэй
fen,фэн
feng,фэнъ
fo,фо
fou,фоу
fu,фу
ga,га
gai,гай
gan,ган
gang,ганъ
gao,гао
ge,гэ
gei,гэй
gen,гэн
geng,гэнъ
go,го
gong,гунъ
gou,гоу
gu,гу
gua,гуа
guai,гуай
guan,гуан
guang,гуанъ
gui,гуй
gun,гун
guo,гуо
ha,ха
hai,хай
han,хан
hang,ханъ
hao,хао
he,хэ
hei,хэй
hen,хэн
heng,хэнъ
hong,хунъ
hong,хунъ
hu,ху
hua,хуа
huai,хуай
huan,хуан
huang,хуанъ
hui,хуй
hun,хун
huo,хуо
i,и
ji,дзи
jia,дзя
jian,дзьен
jiang,дзянъ
jiao,дзяо
jie,дзье
jin,дзин
jing,дзинъ
jiong,дзьёнъ
jiu,дзиу
ju,дзю
juan,дзюан
jue,дзюэ
jun,дзюн
ka,кха
kai,кхай
kan,кхан
kang,кханъ
kao,кхао
ke,кхэ
ken,кхэн
keng,кхэнъ
kong,кхунъ
kou,кхоу
ku,кху
kua,кхуа
kuai,кхуай
kuan,кхуан
kuang,кхуанъ
kui,кхуй
kun,кхун
kuo,кхуо
la,ла
lai,лай
lan,лан
lang,ланъ
lao,лао
le,лэ
lei,лэй
leng,лэнъ
li,ли
lia,лья
lian,льен
liang,льянъ
liao,льяо
lie,лье
lin,лин
ling,линъ
liu,лиу
long,лунъ
lou,лоу
lü,лйю
lu,лу
luan,луан
lüe,лйюэ
lun,лун
luo,луо
m,м
ma,ма
mai,май
man,ман
mang,манъ
mao,мао
me,мэ
mei,мэй
men,мэн
meng,мэнъ
mi,ми
mian,мьен
miao,мьао
mie,мье
min,мин
ming,минъ
miu,миу
mo,мо
mou,моу
mu,му
n,н
na,на
nai,най
nan,нан
nang,нанъ
nao,нао
ne,нэ
nei,нэй
nen,нэнь
neng,нэн
ng,нъ
ni,ни
nian,ньен
niang,ньянъ
niao,ньяо
nie,нье
nin,нин
ning,нинъ
niu,ниу
nong,нунъ
nü,нйю
nu,ну
nuan,нуан
nüe,нйюэ
nuo,нуо
o,о
ou,оу
pa,пха
pai,пхай
pan,пхан
pang,пханъ
pao,пхао
pei,пхэй
pen,пхэн
peng,пхэнъ
pi,пхи
pian,пхьен
piao,пхьяо
pie,пхье
pin,пхин
ping,пхинъ
po,пхо
pou,пхоу
pu,пху
qi,тьси
qia,ться
qian,тьсьен
qiang,тьсьянъ
qiao,тьсяо
qie,тьсье
qin,тьсин
qing,тьсинъ
qiong,тьсёнъ
qiu,тьсиу
qu,тьсю
quan,тьсюан
que,тьсюэ
qun,тьсун
ran,жан
rang,жанъ
rao,жао
re,жэ
ren,жэн
reng,жэнъ
ri,жи
rong,жунъ
rou,жоу
ru,жу
ruan,жуан
rui,жуй
run,жун
ruo,жуо
sa,са
sai,сай
san,сан
sang,санъ
sao,сао
se,сэ
sen,сэн
seng,сэнъ
sha,ша
shai,шай
shan,шан
shang,шанъ
shao,шао
she,шэ
shei,шэй
shen,шэн
sheng,шэнъ
shi,ши
shou,шоу
shu,шу
shua,шуа
shuai,шуай
shuan,шуан
shuang,шуанъ
shui,шуй
shun,шун
shuo,шуо
si,сы
song,сунъ
sou,соу
su,су
suan,суан
sui,суй
sun,сун
suo,суо
ta,тха
tai,тхай
tan,тхан
tang,тхан
tao,тхао
te,тхэ
ten,тхэн
teng,тхэнъ
ti,тхи
tian,тхьен
tiao,тхяо
tie,тхье
ting,тхинъ
tong,тхунъ
tou,тхоу
tu,тху
tuan,тхуан
tui,тхуй
tun,тхун
tuo,тхуо
u,у
wa,ва
wai,вай
wan,ван
wang,ванъ
wei,вэй
wen,вэн
weng,вэнъ
wo,во
wu,ву
xi,си
xia,сья
xian,сьен
xiang,сьянъ
xiao,сяо
xie,сье
xin,син
xing,син
xiong,сьёнъ
xiu,сиу
xu,сю
xuan,сюан
xue,сюэ
xun,сюн
ya,я
yan,ен
ya1n,е1н
ya2n,е2н
ya3n,е3н
ya4n,е4н
yang,янъ
ya1ng,я1нъ
ya2ng,я2нъ
ya3ng,я3нъ
ya4ng,я4нъ
yao,яо
ya1o,я1о
ya2o,я2о
ya3o,я3о
ya4o,я4о
yao1,яо1
yao2,яо2
yao3,яо3
yao4,яо4
ye,е
ye1,е1
ye2,е2
ye3,е3
ye4,е4
yi,йи
yi1,йи1
yi2,йи2
yi3,йи3
yi4,йи4
yin,йин
yi1n,йи1н
yi2n,йи2н
yi3n,йи3н
yi4n,йи4н
ying,йинъ
yi1ng,йи1нъ
yi2ng,йи2нъ
yi3ng,йи3нъ
yi4ng,йи4нъ
yong,ёнъ
yo1ng,ё1нъ
yo2ng,ё2нъ
yo3ng,ё3нъ
yo4ng,ё4нъ
you,йоу
yo1u,йо1у
yo2u,йо2у
yo3u,йо3у
yo4u,йо4у
you1,йоу1
you2,йоу2
you3,йоу3
you4,йоу4
yu,ю
yu1,ю1
yu2,ю2
yu3,ю3
yu4,ю4
yuan,юан
yu1an,ю1ан
yu2an,ю2ан
yu3an,ю3ан
yu4an,ю4ан
yua1n,юа1н
yua2n,юа2н
yua3n,юа3н
yua4n,юа4н
yue,юэ
yu1e,ю1э
yu2e,ю2э
yu3e,ю3э
yu4e,ю4э
yue1,юэ1
yue2,юэ2
yue3,юэ3
yue4,юэ4
yun,юн
yu1n,ю1н
yu2n,ю2н
yu3n,ю3н
yu4n,ю4н
za,дза
za1,дза1
za2,дза2
za3,дза3
za4,дза4
zai,дзай
za1i,дза1й
za2i,дза2й
za3i,дза3й
za4i,дза4й
zai1,дзай1
zai2,дзай2
zai3,дзай3
zai4,дзай4
zan,дзан
za1n,дза1н
za2n,дза2н
za3n,дза3н
za4n,дза4н
zang,дзанъ
za1ng,дза1нъ
za2ng,дза2нъ
za3ng,дза3нъ
za4ng,дза4нъ
zao,дзао
za1o,дза1о
za2o,дза2о
za3o,дза3о
za4o,дза4о
zao1,дзао1
zao2,дзао2
zao3,дзао3
zao4,дзао4
ze,дзэ
ze1,дзэ1
ze2,дзэ2
ze3,дзэ3
ze4,дзэ4
zei,дзэй
ze1i,дзэ1й
ze2i,дзэ2й
ze3i,дзэ3й
ze4i,дзэ4й
zei1,дзэй1
zei2,дзэй2
zei3,дзэй3
zei4,дзэй4
zen,дзэн
ze1n,дзэ1н
ze2n,дзэ2н
ze3n,дзэ3н
ze4n,дзэ4н
zeng,дзэнъ
ze1ng,дзэ1нъ
ze2ng,дзэ2нъ
ze3ng,дзэ3нъ
ze4ng,дзэ4нъ
zha,джа
zha1,джа1
zha2,джа2
zha3,джа3
zha4,джа4
zhai,джай
zha1i,джа1й
zha2i,джа2й
zha3i,джа3й
zha4i,джа4й
zhai1,джай1
zhai2,джай2
zhai3,джай3
zhai4,джай4
zhan,джан
zha1n,джа1н
zha2n,джа2н
zha3n,джа3н
zha4n,джа4н
zhang,джанъ
zha1ng,джа1нъ
zha2ng,джа2нъ
zha3ng,джа3нъ
zha4ng,джа4нъ
zhao,джао
zha1o,джа1о
zha2o,джа2о
zha3o,джа3о
zha4o,джа4о
zhao1,джао1
zhao2,джао2
zhao3,джао3
zhao4,джао4
zhe,джэ
zhe1,джэ1
zhe2,джэ2
zhe3,джэ3
zhe4,джэ4
zhei,джэй
zhe1i,джэ1й
zhe2i,джэ2й
zhe3i,джэ3й
zhe4i,джэ4й
zhei1,джэй1
zhei2,джэй2
zhei3,джэй3
zhei4,джэй4
zhen,джэн
zhe1n,джэ1н
zhe2n,джэ2н
zhe3n,джэ3н
zhe4n,джэ4н
zheng,джэнъ
zhe1ng,джэ1нъ
zhe2ng,джэ2нъ
zhe3ng,джэ3нъ
zhe4ng,джэ4нъ
zhi,джи
zhi1,джи1
zhi2,джи2
zhi3,джи3
zhi4,джи4
zhong,джунъ
zho1ng,джу1нъ
zho2ng,джу2нъ
zho3ng,джу3нъ
zho4ng,джу4нъ
zhou,джоу
zho1u,джо1у
zho2u,джо2у
zho3u,джо3у
zho4u,джо4у
zhou1,джоу1
zhou2,джоу2
zhou3,джоу3
zhou4,джоу4
zhu,джу
zhu1,джу1
zhu2,джу2
zhu3,джу3
zhu4,джу4
zhua,джуа
zhu1a,джу1а
zhu2a,джу2а
zhu3a,джу3а
zhu4a,джу4а
zhua1,джуа1
zhua2,джуа2
zhua3,джуа3
zhua4,джуа4
zhuai,джуай
zhu1ai,джу1ай
zhu2ai,джу2ай
zhu3ai,джу3ай
zhu4ai,джу4ай
zhua1i,джуа1й
zhua2i,джуа2й
zhua3i,джуа3й
zhua4i,джуа4й
zhuai1,джуай1
zhuai2,джуай2
zhuai3,джуай3
zhuai4,джуай4
zhuan,джуан
zhu1an,джу1ан
zhu2an,джу2ан
zhu3an,джу3ан
zhu4an,джу4ан
zhua1n,джуа1н
zhua2n,джуа2н
zhua3n,джуа3н
zhua4n,джуа4н
zhuang,джуанъ
zhu1ang,джу1анъ
zhu2ang,джу2анъ
zhu3ang,джу3анъ
zhu4ang,джу4анъ
zhua1ng,джуа1нъ
zhua2ng,джуа2нъ
zhua3ng,джуа3нъ
zhua4ng,джуа4нъ
zhui,джуй
zhu1i,джу1й
zhu2i,джу2й
zhu3i,джу3й
zhu4i,джу4й
zhui1,джуй1
zhui2,джуй2
zhui3,джуй3
zhui4,джуй4
zhun,джун
zhu1n,джу1н
zhu2n,джу2н
zhu3n,джу3н
zhu4n,джу4н
zhuo,джуо
zhu1o,джу1о
zhu2o,джу2о
zhu3o,джу3о
zhu4o,джу4о
zhuo1,джуо1
zhuo2,джуо2
zhuo3,джуо3
zhuo4,джуо4
zi,дзы
zi1,дзы1
zi2,дзы2
zi3,дзы3
zi4,дзы4
zong,дзунъ
zo1ng,дзу1нъ
zo2ng,дзу2нъ
zo3ng,дзу3нъ
zo4ng,дзу4нъ
zou,дзоу
zo1u,дзо1у
zo2u,дзо2у
zo3u,дзо3у
zo4u,дзо4у
zou1,дзоу1
zou2,дзоу2
zou3,дзоу3
zou4,дзоу4
zu,дзу
zu1,дзу1
zu2,дзу2
zu3,дзу3
zu4,дзу4
zuan,дзуан
zu1an,дзу1ан
zu2an,дзу2ан
zu3an,дзу3ан
zu3an,дзу3ан
zu4an,дзу4ан
zua1n,дзуа1н
zua2n,дзуа2н
zua3n,дзуа3н
zua4n,дзуа4н
zui,дзуй
zu1i,дзу1й
zu2i,дзу2й
zu3i,дзу3й
zu4i,дзу4й
zui1,дзуй1
zui2,дзуй2
zui3,дзуй3
zui4,дзуй4
zun,дзун
zu1n,дзу1н
zu2n,дзу2н
zu3n,дзу3н
zu4n,дзу4н
zuo,дзуо
zu1o,дзу1о
zu2o,дзу2о
zu3o,дзу3о
zu4o,дзу4о
zuo1,дзуо1
zuo2,дзуо2
zuo3,дзуо3
zuo4,дзуо4
